,screen_name,name,text,followers_count,friends_count
0,heyangwel,letícia,RT @wherewereyouspm: vou votar no lula em 2022 e quem não gostou da uma ultra sugada na minha rola,16479,4461
1,carlinhaa_23,c,E eu que ja comecei a fazer campanha pro Lula kkkkk,813,377
2,_stevaan,stevan 🌵,RT @nevesmarialuisa: vc n precisa gostar do lula kkk vc só precisa entender que literalmente QUALQUER PESSOA é melhor que o bolsonaro 🤪,66,101
3,jorge_wam,Jorge Wam 🇧🇷,"‘Tem muita espuma nesse chope ainda’, diz Mourão sobre Lula em 2022 https://t.co/BtM9zzyge2",6025,5978
4,MarchioriSevero,𝘴​ꫀ​ꪜ​ꫀ​𝘳​ꪮ​,RT @wondermyy: Eu apoio Bolsonaro Vs Lula ao estilo Wakanda pra ver quem vai ser o presidente https://t.co/BDrcjnzgD0,176,194
5,DanniverPorto,Danniver Porto,"RT @roberta_bastoss: Bolsonarista dizendo que Bolsonaro vai destruir Lula nos debates!
Isso é muito comédia!
😂😂😂😂😂",105,439
6,abmsonia,Abmsonia@yahoo.com,"RT @BelinhaPoodleBR: 2022 

Entre Doria e  Lula

A saída é  o aeroporto",2433,1411
7,MarceloYujiSat1,marcelo_sato,"@JoelPinheiro85 Lula não vence, precisamos de um Biden brasileiro.",4,260
8,Celiarnl,Célia Lamelza 🚩🌏🇧🇷,"RT @efeitodk: Pra não restar dúvidas, eis aqui a realidade.

Governo Lula com plano real zero km vs Governo Bolsonaro enfrentando pandemia…",1477,1403
9,leopoldmons,larissa;,RT @buarrocha: Entendo uma esquerda que ja nasceu caviar não ter referência no Lula. Não viu a geladeira chegando. Não viu o bairro mudando…,3475,2961
10,DirceGenoinaSoa,Nilza🚩,"RT @ConexaoPetista: Tuítaço começando, usaremos duas tags por 2 motivos 👇

1) avisar a militância da suspeição do Marreco que será hoje.

2…",1325,1234
11,SenadorKajuru,Senador Kajuru,"STF TORNA LULA ELEGÍVEL DE NOVO.
https://t.co/e3VTw3uBeb",276269,2502
12,barbmzi,barb,RT @oednaldopereira: Presidente  Lula  fã  de imitação  Ednaldo Pereira https://t.co/xBZvtWwcN6,1511,1843
13,porraemcarol,a_caroline,RT @inthedoomed: lula vs bolsonaro em 2022 vai ser uma batalha tão grande que é capaz de desbancar gaara vs rock lee ao som de linkin park,1018,4053
14,PauloValenteNe2,Paulo Valente Neto,"RT @Nilsonhandebol: CORRENTE DO LULA!
SE VC É LULISTA É QUER SEGUIR E SER SEGUIDO DEIXE UM SDV.
RETUITES POR FAVOR",184,658
15,ewduda__,Maria Alexandre,RT @alcrsk: lula mal voltou e eu ja achei 10 real na rua slc economia ta melhorando ja,639,689
16,homeamanda23,Amanda⚔️🌙|📖: Evelyn Hugo,RT @CruzTigas: Se for Lula segundo turno eu vou pra urna com uma estrela tatuada na testa. Se for o Doria eu vou vestido de tucano. Se for…,63,135
17,BandasJoao,João Víctor🇪🇪,"@superfl0p @Brunna_Maltta E sim cara eu sei o que o Lula ""fez"" para o brasileiro",5,85
18,Marcos_Lmg,Marcos,RT @blogdosakamoto: Quem coloca Bolsonaro e Lula como dois lados de uma mesma moeda ignora que entre os muitos defeitos do petista não está…,7,40
19,NazarethsThe,Estilingue de Jesus,"RT @da_goiabeira: A imprensa brasileira trata Lula da mesma maneira que Bolsonaro a trata. No caso de Bolsonaro, eles acham o tratamento im…",306,1501
20,Carol21335500,Carol💙,RT @monicatvrs: O fato de Lula poder ser candidato não te obriga a votar nele!,93,233
21,agnersaback,ag,RT @_monny: Admiro quem tem coragem de votar no lula e bolsonaro.,120,131
22,x_uh,Xuh,RT @mouIimrouge: com a noticia do lula ja estou planejando meu intercambio em 2023 pelo ciências sem fronteiras,75,211
23,tety_w,Stéffany,"RT @_brunohoffmann: ""Mercado reage mal à decisão a favor de Lula""

Aí a gente vai ver quem é o mercado: https://t.co/deEdBzAVo3",367,305
24,TheWalkAlen07,THE ALEN.,"@amadinhass38 |￣￣￣￣￣￣￣￣￣￣￣￣|
              LULA 2022
|＿＿＿＿＿＿＿＿＿＿＿＿|
                   \ (•◡•) /… https://t.co/YYTR1mghPY",3,82
25,Lorenarw1,Lorelha,RT @nevesmarialuisa: vc n precisa gostar do lula kkk vc só precisa entender que literalmente QUALQUER PESSOA é melhor que o bolsonaro 🤪,1273,598
26,ullacarioca,Claudia Dutra🚩🚩🚩,"RT @eduliguori: Lula esperto adiou a coletiva, deixa o Gilmar trabalhar primeiro",555,679
